 1   total words: 531,  unique words: 262
 2   total words: 426,  unique words: 332
 3   total words: 425,  unique words: 186
 4   total words: 583,  unique words: 366
 5   total words: 468,  unique words: 272
 6   total words: 412,  unique words: 268
 7   total words: 410,  unique words: 250
 8   total words: 417,  unique words: 280
 9   total words: 662,  unique words: 356
 10  total words: 486,  unique words: 312
 11  total words: 1108,  unique words: 689
 12  total words: 459,  unique words: 329
 13  total words: 436,  unique words: 243
 14  total words: 410,  unique words: 253
 15  total words: 320,  unique words: 230
 16  total words: 286,  unique words: 163
 17  total words: 235,  unique words: 189
 18  total words: 458,  unique words: 211
 19  total words: 492,  unique words: 257
 20  total words: 817,  unique words: 322
 21  total words: 479,  unique words: 319
 22  total words: 421,  unique words: 272
 23  total words: 255,  unique words: 190
 24  total words: 391,  unique words: 189
 25  total words: 1000,  unique words: 499
 26  total words: 465,  unique words: 283
 27  total words: 490,  unique words: 272
 28  total words: 340,  unique words: 260
 29  total words: 559,  unique words: 391
 30  total words: 337,  unique words: 194
 31  total words: 354,  unique words: 268
 32  total words: 645,  unique words: 355
 33  total words: 575,  unique words: 283
 34  total words: 362,  unique words: 190
 35  total words: 431,  unique words: 254
 36  total words: 228,  unique words: 178
 37  total words: 268,  unique words: 185
 38  total words: 492,  unique words: 303
 39  total words: 434,  unique words: 278
 40  total words: 543,  unique words: 329
 41  total words: 307,  unique words: 230
 42  total words: 659,  unique words: 431
 43  total words: 268,  unique words: 205
 44  total words: 496,  unique words: 344
 45  total words: 484,  unique words: 245
 46  total words: 525,  unique words: 342
je             : 513
u              : 496
i              : 409
na             : 334
se             : 301
da             : 245
ne             : 243
mi             : 234
sam            : 210
a              : 159
šta            : 151
me             : 133
o              : 131
za             : 130
ti             : 123
od             : 116
jer            : 113
kad            : 105
san            : 96
ja             : 95
su             : 94
sa             : 92
dim            : 88
te             : 88
s              : 88
dan            : 86
samo           : 86
ka             : 85
iz             : 83
sve            : 81
si             : 81
pa             : 79
to             : 76
ima            : 74
po             : 71
maci           : 70
ću             : 68
di             : 67
al             : 66
ko             : 64
k              : 63
mene           : 60
la             : 60
dok            : 58
do             : 56
nije           : 55
van            : 54
zato           : 54
lil            : 54
zovi           : 54
on             : 51
vraga          : 48
svaki          : 47
bez            : 47
imam           : 44
daj            : 43
jazo           : 43
tu             : 42
će             : 41
vole           : 41
svega          : 41
nema           : 40
smo            : 40
svi            : 40
pusti          : 40
one            : 39
wayne          : 37
nego           : 36
što            : 35
cigarete       : 34
pet            : 33
svoj           : 33
ni             : 33
nisam          : 33
brate          : 32
cig            : 32
više           : 30
sad            : 30
bi             : 30
pas            : 30
čovika         : 30
bit            : 29
nas            : 29
moja           : 29
poput          : 29
znaš           : 29
sutra          : 29
ga             : 28
trubu          : 28
imaš           : 28
uvijek         : 27
bio            : 26
bilo           : 26
baš            : 26
minuta         : 26
ona            : 24
malo           : 24
bježi          : 24
ali            : 23
doma           : 23
uvik           : 23
kada           : 23
triba          : 23
kao            : 23
nikad          : 23
kako           : 23
ako            : 22
ljudi          : 22
znam           : 22
dva            : 22
ih             : 22
ispuniš        : 22
dosta          : 21
zbog           : 21
sviran         : 21
vas            : 21
iman           : 20
oko            : 20
još            : 20
zna            : 20
joj            : 20
taj            : 20
sto            : 20
moj            : 20
john           : 20
marijana       : 20
dana           : 19
koji           : 19
volim          : 19
vam            : 19
jon            : 19
vrag           : 19
price          : 19
voli           : 18
život          : 18
ref            : 18
ljubavi        : 18
lovacke        : 18
ništa          : 17
kod            : 17
kvartu         : 17
tako           : 17
meni           : 17
med            : 16
ovo            : 16
mogu           : 16
li             : 16
patriša        : 16
draga          : 16
gamad          : 16
halo           : 16
faki           : 16
il             : 15
ili            : 15
grada          : 15
mala           : 15
mater          : 15
red            : 15
oprosti        : 15
dima           : 14
volin          : 14
kurve          : 14
neki           : 14
grad           : 14
mu             : 14
im             : 14
moje           : 14
opet           : 14
e              : 14
kombi          : 14
keš            : 14
postoji        : 14
vutra          : 14
čaga           : 14
uuuuu          : 14
vrime          : 13
ode            : 13
prije          : 13
kroz           : 13
nakon          : 13
kurac          : 13
jedan          : 13
ha             : 13
stanite        : 13
frulu          : 13
bude           : 12
niko           : 12
iza            : 12
ispod          : 12
svoje          : 12
odma           : 12
svaka          : 12
sranja         : 12
bila           : 12
sada           : 12
neko           : 12
vojko          : 12
prošlost       : 12
dobro          : 12
air            : 12
max            : 12
tuta           : 12
sex            : 12
gade           : 12
stiga          : 12
pušim          : 11
vadim          : 11
nemam          : 11
pare           : 11
stari          : 11
posla          : 11
neću           : 11
jedino         : 11
biti           : 11
nekog          : 11
glavu          : 11
tri            : 11
uz             : 11
jedna          : 11
treba          : 11
tebe           : 11
vanka          : 11
ma             : 11
drugi          : 11
zove           : 11
živac          : 11
swagonic       : 11
rađa           : 11
doša           : 11
uzmem          : 10
nađi           : 10
par            : 10
njih           : 10
vidi           : 10
svima          : 10
navečer        : 10
pičke          : 10
cili           : 10
woo            : 10
priča          : 10
svakog         : 10
dobar          : 10
brige          : 10
oči            : 10
kaže           : 10
znaju          : 10
radi           : 10
kuna           : 10
mali           : 10
želim          : 10
vidim          : 10
bizzo          : 10
ruke           : 10
srce           : 10
preko          : 10
vi             : 10
svojim         : 10
kuće           : 10
pomalo         : 10
njega          : 10
ponekad        : 9
ljubav         : 9
dalje          : 9
split          : 9
slušam         : 9
noć            : 9
ljude          : 9
para           : 9
bolje          : 9
pičko          : 9
danas          : 9
miru           : 9
ćeš            : 9
nam            : 9
svako          : 9
gleda          : 9
lik            : 9
pijem          : 9
ide            : 9
jednom         : 9
eura           : 9
baba           : 9
puta           : 9
gazi           : 9
tvoj           : 9
zovu           : 9
crni           : 9
pricas         : 9
ste            : 9
fjaka          : 9
ulica          : 8
onda           : 8
sin            : 8
dica           : 8
2              : 8
vrata          : 8
auta           : 8
isto           : 8
put            : 8
jao            : 8
jebem          : 8
gad            : 8
vrijeme        : 8
mora           : 8
budi           : 8
moru           : 8
super          : 8
imaju          : 8
nosim          : 8
god            : 8
kralju         : 8
stalno         : 8
gledam         : 8
viče           : 8
podu           : 8
banke          : 8
nekako         : 8
gradu          : 8
baka           : 8
refren         : 8
telefon        : 8
zelenko        : 8
prodam         : 7
ulici          : 7
stvar          : 7
koja           : 7
truba          : 7
druga          : 7
sranje         : 7
mozak          : 7
lito           : 7
živ            : 7
pun            : 7
nemaš          : 7
često          : 7
novi           : 7
ranije         : 7
nju            : 7
znači          : 7
moju           : 7
nisu           : 7
djecu          : 7
more           : 7
