 1   total words: 465,  unique words: 283
 2   total words: 875,  unique words: 466
 3   total words: 627,  unique words: 352
 4   total words: 605,  unique words: 284
 5   total words: 410,  unique words: 250
 6   total words: 625,  unique words: 367
 7   total words: 570,  unique words: 249
 8   total words: 817,  unique words: 322
 9   total words: 496,  unique words: 344
 10  total words: 499,  unique words: 223
 11  total words: 1108,  unique words: 689
 12  total words: 545,  unique words: 283
 13  total words: 751,  unique words: 401
 14  total words: 436,  unique words: 243
 15  total words: 781,  unique words: 397
 16  total words: 385,  unique words: 243
 17  total words: 550,  unique words: 333
 18  total words: 894,  unique words: 380
 19  total words: 235,  unique words: 189
 20  total words: 569,  unique words: 255
 21  total words: 316,  unique words: 180
 22  total words: 547,  unique words: 340
 23  total words: 583,  unique words: 366
 24  total words: 492,  unique words: 303
 25  total words: 1000,  unique words: 499
 26  total words: 410,  unique words: 253
 27  total words: 259,  unique words: 151
 28  total words: 389,  unique words: 232
 29  total words: 575,  unique words: 283
 30  total words: 576,  unique words: 379
 31  total words: 576,  unique words: 307
 32  total words: 468,  unique words: 272
 33  total words: 281,  unique words: 212
 34  total words: 352,  unique words: 151
 35  total words: 632,  unique words: 276
 36  total words: 372,  unique words: 194
 37  total words: 456,  unique words: 302
 38  total words: 378,  unique words: 218
 39  total words: 326,  unique words: 163
 40  total words: 452,  unique words: 234
 41  total words: 704,  unique words: 395
i              : 501
je             : 429
u              : 376
da             : 321
na             : 308
se             : 308
ne             : 247
o              : 230
mi             : 205
sam            : 200
za             : 194
a              : 174
ja             : 158
ti             : 156
kad            : 151
me             : 143
jer            : 139
si             : 130
su             : 126
to             : 120
pa             : 115
te             : 109
od             : 106
iz             : 96
nema           : 95
ću             : 94
sve            : 93
kako           : 93
k              : 83
ima            : 82
sa             : 78
dok            : 73
ko             : 70
di             : 70
al             : 69
po             : 69
šta            : 69
mene           : 67
s              : 66
što            : 63
dan            : 62
zato           : 61
bez            : 58
svi            : 56
van            : 56
još            : 54
lil            : 54
smo            : 53
kada           : 52
do             : 51
će             : 50
kao            : 50
svaki          : 49
tu             : 48
vraga          : 48
nije           : 46
znam           : 46
kaj            : 45
samo           : 44
jazo           : 43
san            : 42
uvijek         : 41
zovi           : 41
ni             : 39
sad            : 39
ga             : 38
ako            : 37
pusti          : 37
wayne          : 37
nas            : 36
imaš           : 36
moja           : 36
može           : 35
zbog           : 34
ovo            : 34
svoj           : 34
kak            : 33
kurac          : 33
volim          : 33
pet            : 33
pas            : 33
boli           : 32
biti           : 32
bi             : 31
više           : 31
ref            : 31
la             : 31
prije          : 30
život          : 30
znaš           : 29
imam           : 28
buraz          : 28
bilo           : 28
moj            : 28
baš            : 28
ste            : 27
x2             : 26
bude           : 26
neki           : 26
minuta         : 26
bit            : 25
vrijeme        : 25
bježi          : 25
trubu          : 25
ih             : 24
jako           : 24
on             : 23
treba          : 23
vam            : 23
ili            : 23
đe             : 23
meni           : 22
moje           : 22
mu             : 22
li             : 22
krene          : 22
tebe           : 22
kroz           : 22
nek            : 22
jel            : 22
tako           : 22
ispuniš        : 22
malo           : 21
već            : 21
koji           : 21
sranja         : 21
grada          : 21
daj            : 21
zagreb         : 21
sviran         : 21
znaju          : 20
bio            : 20
il             : 20
john           : 20
ajde           : 19
srce           : 19
jedan          : 19
kvarta         : 19
rime           : 19
vrag           : 19
draga          : 19
lovacke        : 18
price          : 18
kvartu         : 18
ha             : 18
priča          : 18
frend          : 18
žene           : 18
uz             : 18
sto            : 18
ćeš            : 18
čekam          : 18
jon            : 18
woo            : 18
onda           : 17
mogu           : 17
svima          : 17
jednom         : 17
dva            : 17
ispod          : 17
ma             : 17
brate          : 17
sistema        : 17
svoje          : 17
halo           : 17
asfalta        : 17
ante           : 17
jesi           : 17
mala           : 16
kod            : 16
yeah           : 16
ekipa          : 16
ali            : 16
kojih          : 16
drugi          : 16
niti           : 16
nego           : 16
gradskog       : 16
patriša        : 16
bizzo          : 16
pare           : 16
faki           : 16
kompa          : 16
mažuranić      : 16
stjepan        : 16
radić          : 16
starčević      : 16
dana           : 15
voli           : 15
mali           : 15
nisi           : 15
reci           : 15
predstavljam   : 15
jedino         : 15
žena           : 15
ljubav         : 15
teče           : 15
dubrava        : 15
možda          : 15
ljubavi        : 15
para           : 14
nemoj          : 14
zna            : 14
radi           : 14
stati          : 14
im             : 14
oprosti        : 14
nam            : 14
gdje           : 14
ka             : 14
vene           : 14
čaga           : 14
eto            : 14
doma           : 13
stari          : 13
mora           : 13
svako          : 13
ide            : 13
bahattee       : 13
svakog         : 13
dobro          : 13
ceste          : 13
koje           : 13
preko          : 13
nula           : 13
frulu          : 13
kraj           : 13
života         : 13
bijeli         : 13
nisu           : 13
vrućini        : 13
velikani       : 13
sedam          : 13
jaaa           : 13
svaka          : 12
jedna          : 12
ak             : 12
brije          : 12
joj            : 12
vas            : 12
neka           : 12
rep            : 12
ona            : 12
gradu          : 12
remiza         : 12
rekli          : 12
manekene       : 12
jednu          : 12
prijatelj      : 12
gade           : 12
bila           : 11
brata          : 11
ništa          : 11
puno           : 11
mladi          : 11
put            : 11
neće           : 11
sada           : 11
poput          : 11
gledam         : 11
oće            : 11
ove            : 11
svega          : 11
želim          : 11
pad            : 11
imaju          : 11
čuvari         : 11
zadnji         : 11
isto           : 11
neko           : 11
reper          : 11
mater          : 11
kupaš          : 11
nemam          : 10
godine         : 10
el             : 10
jebem          : 10
mislim         : 10
nemre          : 10
neću           : 10
ljudi          : 10
sebe           : 10
nisam          : 10
tamo           : 10
danas          : 10
idemo          : 10
opet           : 10
ničeg          : 10
zakon          : 10
vani           : 10
novi           : 10
blackout       : 10
kula           : 10
marulić        : 10
cu             : 9
stara          : 9
pricas         : 9
lima           : 9
možeš          : 9
iza            : 9
zamisli        : 9
lice           : 9
žele           : 9
vi             : 9
mafija         : 9
traže          : 9
politika       : 9
jebeni         : 9
vole           : 9
sutra          : 9
zove           : 9
naše           : 9
nikad          : 9
mozak          : 9
loših          : 9
puna           : 9
tri            : 9
nosi           : 9
rekla          : 9
boysi          : 9
plavo          : 9
prva           : 9
krv            : 9
nešto          : 9
general        : 9
devet          : 9
takozvani      : 9
ova            : 9
zašto          : 9
zelenko        : 9
brigante       : 9
bok            : 8
