 1   total words: 431,  unique words: 212
 2   total words: 445,  unique words: 278
 3   total words: 566,  unique words: 209
 4   total words: 1053,  unique words: 394
 5   total words: 546,  unique words: 300
 6   total words: 372,  unique words: 245
 7   total words: 429,  unique words: 227
 8   total words: 591,  unique words: 370
 9   total words: 462,  unique words: 262
 10  total words: 635,  unique words: 339
 11  total words: 454,  unique words: 305
 12  total words: 429,  unique words: 202
 13  total words: 377,  unique words: 182
 14  total words: 384,  unique words: 231
 15  total words: 326,  unique words: 231
 16  total words: 539,  unique words: 341
 17  total words: 476,  unique words: 240
 18  total words: 468,  unique words: 185
 19  total words: 477,  unique words: 281
 20  total words: 616,  unique words: 394
 21  total words: 365,  unique words: 235
 22  total words: 351,  unique words: 204
 23  total words: 199,  unique words: 151
 24  total words: 431,  unique words: 217
 25  total words: 318,  unique words: 220
 26  total words: 852,  unique words: 544
 27  total words: 316,  unique words: 218
 28  total words: 429,  unique words: 273
 29  total words: 586,  unique words: 283
 30  total words: 492,  unique words: 313
 31  total words: 350,  unique words: 213
 32  total words: 378,  unique words: 258
 33  total words: 519,  unique words: 330
 34  total words: 478,  unique words: 276
 35  total words: 398,  unique words: 200
 36  total words: 748,  unique words: 348
 37  total words: 454,  unique words: 238
 38  total words: 547,  unique words: 347
 39  total words: 397,  unique words: 252
 40  total words: 702,  unique words: 414
 41  total words: 845,  unique words: 453
 42  total words: 292,  unique words: 190
 43  total words: 359,  unique words: 255
 44  total words: 408,  unique words: 209
 45  total words: 550,  unique words: 167
 46  total words: 498,  unique words: 313
 47  total words: 535,  unique words: 369
 48  total words: 473,  unique words: 289
 49  total words: 472,  unique words: 198
 50  total words: 617,  unique words: 404
 51  total words: 566,  unique words: 348
 52  total words: 646,  unique words: 372
Processed all songs from the file: ../Tekstowo/songs/tekstowo_polski_hip_hop_klasyki_10-03-23.json
nie            : 782
to             : 725
w              : 606
i              : 534
na             : 480
się            : 448
z              : 359
jak            : 282
jest           : 275
co             : 260
a              : 176
do             : 174
tak            : 174
że             : 172
o              : 160
mnie           : 157
za             : 147
ja             : 142
bo             : 140
mam            : 131
ma             : 113
tym            : 108
mi             : 101
już            : 101
czy            : 101
tu             : 100
nic            : 94
dla            : 91
by             : 88
ci             : 87
od             : 81
czas           : 78
po             : 76
dobrze         : 75
ale            : 74
tylko          : 71
jestem         : 65
gdy            : 65
wszystko       : 65
nas            : 64
życie          : 63
są             : 61
tego           : 60
ty             : 59
sobie          : 58
ten            : 56
dziś           : 55
wiem           : 54
każdy          : 54
masz           : 53
chcę           : 53
scyzoryk       : 52
będzie         : 49
może           : 49
gdzie          : 47
więc           : 46
kiedy          : 45
było           : 45
bez            : 45
jeszcze        : 41
lecz           : 41
dzień          : 40
teraz          : 40
raz            : 40
świat          : 40
czasu          : 40
jeden          : 39
żeby           : 39
coś            : 38
plus           : 38
sam            : 37
minus          : 36
rap            : 36
choć           : 35
mój            : 35
scoobie        : 35
doo            : 34
być            : 33
pierdole       : 33
jeśli          : 33
cię            : 33
tej            : 33
noc            : 33
czasem         : 32
powiedz        : 31
mają           : 31
przez          : 31
ya             : 31
życia          : 30
hip            : 30
wiesz          : 30
te             : 30
wszyscy        : 29
jesteś         : 29
tam            : 29
mogę           : 29
żyć            : 28
ciebie         : 28
hop            : 28
ludzie         : 28
nawet          : 28
widzę          : 28
kurwa          : 28
miasto         : 28
my             : 28
gdzieś         : 27
ludzi          : 27
dzisiaj        : 27
chwile         : 27
ich            : 27
ta             : 27
chce           : 27
przecież       : 27
jej            : 27
nikt           : 26
przed          : 26
ze             : 26
zawsze         : 26
który          : 25
chociaż        : 25
swoje          : 25
wciąż          : 25
tych           : 25
normalnie      : 25
też            : 24
takie          : 24
nim            : 24
