 1   total words: 852,  unique words: 544
 2   total words: 616,  unique words: 394
 3   total words: 520,  unique words: 206
 4   total words: 845,  unique words: 453
 5   total words: 476,  unique words: 240
 6   total words: 592,  unique words: 328
 7   total words: 365,  unique words: 235
 8   total words: 395,  unique words: 219
 9   total words: 411,  unique words: 269
 10  total words: 586,  unique words: 283
 11  total words: 375,  unique words: 235
 12  total words: 431,  unique words: 212
 13  total words: 410,  unique words: 218
 14  total words: 372,  unique words: 225
 15  total words: 462,  unique words: 262
 16  total words: 429,  unique words: 202
 17  total words: 550,  unique words: 167
 18  total words: 325,  unique words: 200
 19  total words: 492,  unique words: 221
 20  total words: 493,  unique words: 291
 21  total words: 318,  unique words: 220
 22  total words: 199,  unique words: 151
 23  total words: 384,  unique words: 231
 24  total words: 326,  unique words: 231
 25  total words: 431,  unique words: 217
 26  total words: 429,  unique words: 273
 27  total words: 316,  unique words: 218
 28  total words: 351,  unique words: 204
 29  total words: 531,  unique words: 330
 30  total words: 490,  unique words: 329
 31  total words: 350,  unique words: 213
 32  total words: 378,  unique words: 258
 33  total words: 519,  unique words: 330
 34  total words: 356,  unique words: 193
 35  total words: 580,  unique words: 375
 36  total words: 748,  unique words: 348
 37  total words: 702,  unique words: 414
 38  total words: 231,  unique words: 183
 39  total words: 645,  unique words: 354
 40  total words: 454,  unique words: 238
 41  total words: 591,  unique words: 370
 42  total words: 273,  unique words: 190
 43  total words: 473,  unique words: 289
 44  total words: 290,  unique words: 170
 45  total words: 292,  unique words: 190
 46  total words: 359,  unique words: 255
 47  total words: 446,  unique words: 246
 48  total words: 535,  unique words: 369
 49  total words: 661,  unique words: 327
 50  total words: 352,  unique words: 213
 51  total words: 406,  unique words: 224
 52  total words: 356,  unique words: 201
 53  total words: 324,  unique words: 224
 54  total words: 466,  unique words: 307
 55  total words: 242,  unique words: 149
 56  total words: 429,  unique words: 131
 57  total words: 478,  unique words: 276
 58  total words: 427,  unique words: 246
 59  total words: 484,  unique words: 272
 60  total words: 388,  unique words: 265
 61  total words: 328,  unique words: 214
 62  total words: 266,  unique words: 207
 63  total words: 341,  unique words: 254
 64  total words: 791,  unique words: 490
 65  total words: 567,  unique words: 354
 66  total words: 533,  unique words: 265
 67  total words: 539,  unique words: 341
 68  total words: 464,  unique words: 259
Processed all songs from the file: ../Tekstowo/songs/tekstowo_polski_rap_2000_10-03-23.json
nie            : 920
to             : 895
w              : 658
i              : 610
na             : 558
się            : 537
z              : 470
jak            : 393
co             : 315
jest           : 292
a              : 241
tak            : 208
do             : 199
że             : 198
o              : 186
mnie           : 176
za             : 175
ja             : 162
bo             : 152
już            : 130
dla            : 126
tym            : 116
tu             : 110
mi             : 107
by             : 106
po             : 104
ty             : 103
tylko          : 102
ma             : 100
od             : 98
nic            : 96
czy            : 92
ale            : 84
czas           : 83
mam            : 83
są             : 81
wiem           : 81
wszystko       : 77
życie          : 75
ci             : 72
tego           : 70
ten            : 70
nas            : 70
raz            : 69
jestem         : 69
baku           : 68
mogę           : 67
teraz          : 66
każdy          : 66
dziś           : 65
ciebie         : 64
masz           : 62
nikt           : 62
kiedy          : 61
więc           : 56
bez            : 54
te             : 54
cię            : 53
chcę           : 53
gdy            : 52
jeszcze        : 51
było           : 51
ze             : 50
była           : 49
tych           : 49
może           : 48
rap            : 48
przez          : 46
u              : 46
choć           : 45
być            : 45
wiesz          : 44
jesteś         : 44
sam            : 43
jej            : 42
sobie          : 42
my             : 42
mój            : 42
świat          : 42
gdzie          : 41
wszyscy        : 41
lecz           : 41
ją             : 39
będzie         : 39
ta             : 38
dzień          : 38
dobrze         : 38
czasem         : 38
niej           : 37
chce           : 37
coś            : 37
noc            : 37
tej            : 37
cały           : 36
kiedyś         : 36
jeśli          : 36
żeby           : 35
kto            : 35
ona            : 34
jeden          : 34
chwile         : 34
chociaż        : 33
ich            : 33
hip            : 33
mieć           : 32
pierdole       : 32
miejsce        : 30
żyć            : 30
takie          : 29
który          : 29
przed          : 29
chcesz         : 29
lepiej         : 29
no             : 29
znów           : 28
więcej         : 28
które          : 28
tutaj          : 28
niż            : 28
hop            : 28
on             : 27
brak           : 27
przecież       : 27
nawet          : 27
ktoś           : 27
moje           : 27
daj            : 27
idę            : 27
ra             : 27
gdzieś         : 26
lat            : 26
go             : 26
też            : 26
ludzi          : 26
dalej          : 26
będę           : 26
życia          : 26
x              : 26
buta           : 26
nigdy          : 25
kurwa          : 25
mają           : 25
bardzo         : 24
miał           : 24
mną            : 24
człowiek       : 24
ej             : 24
znasz          : 24
wszystkich     : 24
dzisiaj        : 23
myśli          : 23
był            : 23
pod            : 23
nią            : 23
ciągle         : 23
których        : 23
wciąż          : 23
jutro          : 23
nich           : 23
domu           : 22
tam            : 22
razem          : 22
hej            : 22
przy           : 22
nam            : 22
