 1   total words: 319,  unique words: 126
 2   total words: 409,  unique words: 274
 3   total words: 360,  unique words: 184
 4   total words: 455,  unique words: 207
 5   total words: 450,  unique words: 239
 6   total words: 349,  unique words: 138
 7   total words: 410,  unique words: 205
 8   total words: 301,  unique words: 167
 9   total words: 708,  unique words: 461
 10  total words: 495,  unique words: 281
 11  total words: 423,  unique words: 214
 12  total words: 283,  unique words: 125
 13  total words: 409,  unique words: 196
 14  total words: 234,  unique words: 92
 15  total words: 454,  unique words: 216
 16  total words: 424,  unique words: 159
 17  total words: 381,  unique words: 191
 18  total words: 762,  unique words: 402
 19  total words: 246,  unique words: 142
 20  total words: 506,  unique words: 215
 21  total words: 588,  unique words: 358
 22  total words: 276,  unique words: 134
 23  total words: 384,  unique words: 224
 24  total words: 307,  unique words: 143
 25  total words: 410,  unique words: 192
 26  total words: 439,  unique words: 216
 27  total words: 363,  unique words: 146
Processed all songs from the file: ../Tekstowo/songs/tekstowo_rap_generacja_10-03-23.json
na             : 372
nie            : 340
w              : 258
jak            : 247
to             : 243
i              : 186
się            : 173
z              : 120
mnie           : 105
mi             : 94
do             : 91
jest           : 81
bo             : 81
za             : 76
mam            : 69
a              : 68
już            : 66
że             : 65
co             : 59
ale            : 55
jestem         : 52
po             : 52
ja             : 46
o              : 43
tu             : 43
tylko          : 43
tak            : 39
ma             : 37
ej             : 35
m              : 32
sam            : 31
być            : 31
no             : 31
chcę           : 31
od             : 30
czy            : 29
nas            : 29
jolie          : 24
bella          : 24
gdzie          : 23
dobrze         : 23
wiem           : 23
kiedy          : 23
może           : 23
mój            : 22
tam            : 22
sobie          : 22
jeszcze        : 22
potem          : 22
niż            : 22
dla            : 20
te             : 20
czuję          : 20
ten            : 19
zawsze         : 19
czekaj         : 19
ją             : 18
ty             : 18
więc           : 18
mieć           : 18
tym            : 18
dziś           : 18
jeśli          : 18
mo             : 18
niej           : 17
tego           : 17
dwa            : 17
ze             : 17
trap           : 17
zejdź          : 16
cię            : 16
pod            : 16
moje           : 16
trzy           : 16
mapie          : 16
safe           : 16
każdy          : 15
dzień          : 15
bungee         : 15
klasyczny      : 15
ci             : 14
by             : 14
będę           : 14
nic            : 14
więcej         : 14
będzie         : 14
bez            : 14
patrz          : 13
coś            : 13
jej            : 13
tyle           : 13
masz           : 13
przez          : 13
mogę           : 13
twój           : 13
jesteś         : 13
miałem         : 13
